AICC-C14Be;C14Be 
3498.802384;-0.606345
3503.886686;-0.769697
3508.970988;-0.911323
3514.260504;-1.02331
3519.973274;-1.07603
3525.698869;-1.03191
3531.424464;-0.956181
3537.15006;-0.8943
3542.875655;-0.856155
3548.60125;-0.867432
3554.326845;-0.894537
3560.05244;-0.893986
3565.778036;-0.83811
3571.503631;-0.66959
3577.229226;-0.408192
3582.949616;-0.182385
3588.498239;-0.0297228
3593.96358;-0.0134507
3599.42892;-0.161239
3604.894261;-0.303114
3610.256407;-0.401524
3615.405714;-0.424844
3620.548571;-0.311803
3625.691429;-0.159251
3630.834286;-0.0264793
3635.977143;0.0805822
3641.12;0.13624
3646.262857;0.154328
3651.387013;0.146706
3656.338182;0.0876791
3661.247273;-0.0741398
3666.156364;-0.320964
3671.065455;-0.540134
3676.091429;-0.702003
3681.234286;-0.769021
3686.377143;-0.685848
3691.52;-0.565138
3696.617688;-0.416776
3701.622216;-0.211114
3706.62392;0.101258
3711.625625;0.42547
3716.646384;0.688395
3721.843393;0.846549
3727.083274;0.805063
3732.323155;0.587656
3737.563036;0.39197
3742.802917;0.2437
3748.042798;0.178423
3753.282679;0.215901
3758.52256;0.245457
3763.643352;0.245345
3768.645057;0.18592
3773.646761;0.0316066
3778.648466;-0.138538
3783.766006;-0.306725
3789.359762;-0.480862
3795.005;-0.674784
3800.650238;-0.860819
3806.274948;-0.985604
3811.709773;-0.995775
3817.098409;-0.782629
3822.487045;-0.375808
3827.875682;-0.000633481
3833.392619;0.315228
3839.037857;0.532246
3844.683095;0.601009
3850.328333;0.630223
3855.891459;0.643605
3861.285227;0.623364
3866.673864;0.54974
3872.0625;0.452378
3877.457903;0.343133
3882.915893;0.206197
3888.389107;0.00994762
3893.862321;-0.235735
3899.33056;-0.449818
3904.634602;-0.61451
3909.859034;-0.682379
3915.083466;-0.635636
3920.307898;-0.573103
3925.61194;-0.496757
3931.080179;-0.394739
3936.553393;-0.241356
3942.026607;-0.0860204
3947.455041;0.0337173
3952.699375;0.0842563
3957.923807;0.0063034
3963.148239;-0.136895
3968.383491;-0.246517
3973.975833;-0.292916
3979.74131;-0.216799
3985.506786;0.00555357
3991.272262;0.204165
3996.906705;0.331601
4002.410114;0.320661
4007.913523;0.10217
4013.416932;-0.144014
4018.920341;-0.370458
4024.42375;-0.571232
4029.927159;-0.728549
4035.430568;-0.842406
4040.939219;-0.900949
4046.620833;-0.856738
4052.38631;-0.607003
4058.151786;-0.104305
4063.917262;0.368721
4069.591761;0.750806
4075.175284;0.974749
4080.758807;0.959519
4086.34233;0.877063
4091.925852;0.755053
4097.509375;0.544079
4103.092898;0.157177
4108.67642;-0.306834
4114.265261;-0.681929
4120.029583;-0.902884
4125.878988;-0.825423
4131.728393;-0.386295
4137.577798;0.0488527
4143.294261;0.418752
4148.877784;0.681899
4154.461307;0.784927
4160.04483;0.842472
4165.650239;0.87232
4171.345625;0.850755
4177.050739;0.732318
4182.755852;0.558513
4188.466399;0.396543
4194.35625;0.252333
4200.333036;0.137746
4206.309821;0.0567312
4212.286607;-0.00849813
4218.127557;-0.0520128
4223.83267;-0.0560248
4229.537784;-0.00274603
4235.242898;0.0643414
4240.948011;0.129426
4246.653125;0.198438
4252.358239;0.275327
4258.063352;0.346262
4263.764233;0.395428
4269.325417;0.403063
4274.818869;0.32173
4280.312321;0.133643
4285.805774;-0.0327306
4291.174375;-0.14379
4296.418125;-0.152101
4301.661875;-0.00627615
4306.905625;0.167192
4312.149375;0.334704
4317.393125;0.498237
4322.636875;0.659765
4327.880625;0.811384
4333.124375;0.933331
4338.368125;0.997931
4343.611875;0.951825
4348.855625;0.773268
4354.099375;0.612472
4359.277315;0.499085
4364.319524;0.480538
4369.357619;0.624034
4374.395714;0.810985
4379.392589;0.962333
4384.22;1.04448
4389.029091;1.0001
4393.838182;0.898379
4398.647273;0.849996
4403.456364;0.91029
4408.265455;1.18401
4413.074545;1.72255
4417.883636;2.21758
4422.692727;2.6019
4427.501818;2.7846
4432.310909;2.62139
4437.12;2.34747
4441.948554;2.10318
4446.957143;1.91617
4452.009524;1.83388
4457.061905;1.83853
4462.109693;1.81153
4467.005909;1.71731
4471.828636;1.49261
4476.651364;1.10384
4481.474091;0.734804
4486.296818;0.415153
4491.119545;0.186393
4495.942273;0.107815
4500.765;0.0924558
4505.587727;0.100787
4510.410455;0.154549
4515.233182;0.301177
4520.055909;0.528813
4524.878636;0.726774
4529.732898;0.873322
4534.618693;0.926947
4539.504489;0.842195
4544.390284;0.72777
4549.317958;0.613316
4554.417798;0.492907
4559.53625;0.354684
4564.654702;0.21248
4569.754542;0.0840837
4574.682216;-0.0225977
4579.568011;-0.0897771
4584.453807;-0.117454
4589.339602;-0.137252
4594.225398;-0.139289
4599.111193;-0.101823
4603.996989;-0.011019
4608.882784;0.0777818
4613.851625;0.134933
4619.161875;0.134741
4624.509034;0.0258172
4629.856193;-0.142426
4635.203352;-0.290929
4640.550511;-0.411791
4645.89767;-0.483266
4651.24483;-0.491521
4656.591989;-0.489918
4661.939148;-0.482414
4667.286307;-0.457147
4672.633466;-0.410165
4677.980625;-0.353324
4683.327784;-0.296511
