Age_synchroBe;C14Be 
5956.59;-0.873237
5961.89;-0.737247
5967.19;-0.607116
5972.5;-0.488768
5977.8;-0.388135
5983.1;-0.313123
5988.4;-0.261749
5993.71;-0.23402
5999.01;-0.257597
6004.31;-0.379921
6009.61;-0.591105
6014.92;-0.780468
6020.22;-0.934175
6025.52;-1.02653
6030.83;-1.01998
6036.13;-0.965913
6041.43;-0.88409
6046.73;-0.746841
6052.04;-0.498826
6057.34;-0.155855
6062.64;0.151628
6067.94;0.39793
6073.25;0.52771
6078.55;0.457961
6083.85;0.325055
6089.16;0.206077
6094.46;0.11091
6099.76;0.0553653
6105.06;0.0513033
6110.37;0.0690781
6115.67;0.124502
6120.97;0.257106
6126.27;0.528159
6131.58;0.826982
6136.88;1.08638
6142.18;1.2767
6147.48;1.33865
6152.79;1.24457
6158.09;1.13083
6163.39;1.00138
6168.7;0.832506
6174;0.582707
6179.3;0.303369
6184.6;0.073553
6189.91;-0.0632606
6195.21;-0.0299885
6200.51;0.26824
6205.81;0.606112
6211.12;0.930262
6216.42;1.2486
6221.72;1.5631
6227.42;1.85992
6233.38;2.1035
6239.35;2.2563
6245.31;2.24712
6251.28;1.98511
6257.24;1.67774
6263.21;1.36654
6269.17;1.03966
6275.14;0.6714
6281.11;0.27362
6287.07;-0.0845047
6293.04;-0.373324
6299;-0.539474
6304.97;-0.494014
6310.93;-0.383198
6316.9;-0.299918
6322.86;-0.265917
6328.83;-0.330603
6334.79;-0.513741
6340.76;-0.667091
6346.73;-0.741248
6352.69;-0.663077
6358.66;-0.294228
6364.62;0.22102
6370.59;0.655379
6376.55;0.947575
6382.52;0.973097
6388.48;0.674628
6394.45;0.380257
6400.42;0.147307
6406.38;0.0232108
6412.35;0.100864
6418.31;0.291327
6424.28;0.458226
6430.24;0.585751
6436.21;0.642279
6442.17;0.588282
6448.14;0.518632
6454.11;0.457048
6460.07;0.407483
6466.04;0.381797
6472;0.370108
6477.97;0.360562
6483.93;0.35118
6489.9;0.341963
6495.86;0.330941
6501.83;0.322062
6507.8;0.313354
6513.76;0.298889
6519.73;0.276689
6525.69;0.252687
6531.66;0.266414
6537.23;0.357399
6542.53;0.606677
6547.84;1.13877
6553.14;1.7244
6558.44;2.20151
6563.51;2.48709
6568.23;2.40722
6572.94;1.88084
6577.65;1.37244
6582.37;0.963059
6587.08;0.733719
6591.8;0.83859
6596.51;1.13537
6601.22;1.41258
6605.94;1.66429
6610.65;1.87864
6615.36;2.04379
6620.08;2.17749
6624.79;2.27385
6629.5;2.30717
6634.22;2.2221
6638.93;2.02655
6643.64;1.81146
6648.36;1.55704
6653.07;1.22179
6657.79;0.732583
6662.5;0.215921
6667.21;-0.241236
6671.93;-0.601331
6677.22;-0.781354
6682.53;-0.747705
6688.09;-0.707907
6694.06;-0.691607
6700.02;-0.726474
6705.99;-0.861916
6711.95;-1.04457
6717.92;-1.1934
6723.88;-1.28468
6729.85;-1.26506
6735.82;-1.07918
6741.78;-0.873304
6747.75;-0.692892
6753.71;-0.557705
6759.68;-0.507268
6765.64;-0.531699
6771.61;-0.551937
6777.57;-0.564031
6783.54;-0.556118
6789.51;-0.518314
6795.47;-0.464456
6801.44;-0.400466
6807.4;-0.310536
6812.97;-0.166992
6818.28;0.0420257
6823.58;0.227578
6828.88;0.360022
6834.18;0.393899
6839.49;0.242246
