age;intcal20_detrended
5375;0.885361
5380;2.97633
5385;4.9675
5390;6.05888
5395;6.45046
5400;6.94224
5405;8.13422
5410;9.72641
5415;11.4188
5420;13.6114
5425;15.3042
5430;16.0972
5435;15.5905
5440;13.8839
5445;11.7775
5450;10.8714
5455;10.7654
5460;10.5597
5465;9.45421
5470;7.74891
5475;5.54382
5480;3.33896
5485;1.4343
5490;0.129865
5495;-0.174356
5500;0.921642
5505;3.11786
5510;5.41429
5515;6.31095
5520;6.50782
5525;7.10492
5530;8.60224
5535;10.2998
5540;11.6975
5545;12.3955
5550;12.5937
5555;12.5922
5560;13.1909
5565;13.8897
5570;13.6889
5575;12.4882
5580;10.2878
5585;6.7876
5590;3.08764
5595;0.18791
5600;-2.61159
5605;-5.51085
5610;-7.70988
5615;-7.80868
5620;-5.70724
5625;-3.80557
5630;-2.40366
5635;-1.00151
5640;0.200876
5645;0.703501
5650;0.106364
5655;-1.79053
5660;-4.28719
5665;-5.5836
5670;-4.97977
5675;-3.8757
5680;-3.27139
5685;-2.66683
5690;-1.56202
5695;-0.456969
5700;0.348329
5705;0.653874
5710;0.659667
5715;0.365709
5720;0.0720007
5725;-0.421457
5730;-0.814664
5735;-1.20762
5740;-1.70032
5745;-2.69277
5750;-4.18497
5755;-5.77691
5760;-6.86859
5765;-7.36002
5770;-7.35119
5775;-6.94211
5780;-6.13276
5785;-5.32316
5790;-4.6133
5795;-4.40317
5800;-4.09279
5805;-3.18214
5810;-1.67123
5815;-0.460057
5820;0.55138
5825;2.76308
5830;5.87505
5835;7.48729
5840;7.49979
5845;7.21256
5850;7.3256
5855;7.23891
5860;7.15249
5865;7.36634
5870;7.98046
5875;8.69485
5880;9.10952
5885;8.82446
5890;7.93968
5895;6.45517
5900;4.67093
5905;2.68698
5910;0.903301
5915;-0.480098
5920;-1.36322
5925;-2.14606
5930;-3.22862
5935;-4.6109
5940;-6.19289
5945;-7.47461
5950;-8.25604
5955;-7.93718
5960;-6.81804
5965;-4.89862
5970;-2.77891
5975;-0.758905
5980;0.761383
5985;0.381959
5990;-1.79717
5995;-3.97602
6000;-7.15457
6005;-9.33283
6010;-10.1108
6015;-10.4885
6020;-10.5658
6025;-10.5429
6030;-10.4197
6035;-10.0962
6040;-9.27241
6045;-7.44831
6050;-5.52391
6055;-4.49921
6060;-4.77421
6065;-5.2489
6070;-4.9233
6075;-3.59739
6080;-1.57118
6085;0.755332
6090;2.88215
6095;4.60928
6100;5.23671
6105;4.56444
6110;2.89249
6115;0.720845
