age_vostok;Be_conc_vostok;age_da;Be_conc_da;age_edc;Be_conc_edc;age_odc;Be_conc_odc;age_sp;Be_conc_sp;age_df;Be_conc_df;age_edml;Be_conc_edml;age_ldc;Be_conc_ldc;age_sd;Be_conc_sd;age_spi;Be_conc_spi;age_td;Be_conc_td;age_wd;Be_conc_wd
2269;0.93;2871.5;0.8;646.51;0.739;4087.84;0.485;822;0.285;;;3944;0.379;;;145.57;0.431;1355.98;0.337;57115;0.395;1511.4;0.133
2289;0.813;2899;0.867;650.54;0.72;4127.86;;831;0.37;;;3966;0.326;;;146.6;0.291;1369.12;0.316;58348;0.403;1523.45;0.142
2309;0.564;2928.5;0.928;654.79;0.707;4167.9;0.551;839;0.337;;;3988;0.379;;;147.67;0.151;1382;0.285;59323;0.528;1535.85;0.129
2329;0.786;2955.09;;658.86;0.72;4229.78;0.425;846.3;0.344;;;4010;0.366;;;148.65;0.252;1394.09;0.287;60314;0.531;1548.65;0.104
2349;0.716;2980.59;0.734;662.99;0.51;4292.2;0.493;854.3;;;;4032;0.342;;;149.6;0.279;1407.94;0.325;61478;0.434;1566.25;0.102
2369;0.736;3007.5;0.843;667.34;;4307.6;0.489;862.5;0.299;;;4054;0.37;;;150.53;0.202;1421.66;0.305;62497;0.383;1583.4;0.101
2389;0.84;3035.5;0.686;671.69;0.734;4338.4;0.481;871;0.353;;;4076;0.366;;;151.5;0.188;1434.74;0.296;63612;0.704;1595.35;0.124
2409.5;0.756;3064.5;0.925;676.27;0.844;;;878.5;0.392;;;4098;0.37;;;152.34;0.192;1448.18;0.317;63834;0.621;1607.75;0.111
2430;0.747;3093.5;1.078;681.11;0.622;;;885;0.46;;;4120;0.322;;;153.33;0.25;1462.18;0.34;64118;0.376;1620.6;0.108
2450;0.729;3122;0.828;685.67;0.766;;;892;0.409;;;4142;0.362;;;154.4;0.233;1477.4;0.296;64685;0.331;1633.6;0.107
2470.5;0.771;;;690.22;0.756;;;901;0.469;;;4164;0.391;;;155.33;0.178;1492.89;0.341;65820;0.284;1646.95;0.094
2491;0.74;;;695.03;0.575;;;910.5;0.514;;;4186;0.358;;;156.22;0.232;1506.63;0.355;66973;0.327;1659.15;0.09
2511;1.05;;;699.66;1.04;;;918.5;0.45;;;4208;0.338;;;157.27;0.19;1519.09;0.341;67948;0.315;1670.15;0.136
2531.5;0.713;;;704.37;0.645;;;926;0.334;;;4230;0.374;;;159.51;0.198;1533.01;0.308;72457;0.302;1683.65;0.143
2552;0.88;;;709.34;0.564;;;934;;;;4252;0.415;;;161.29;0.136;1547.06;0.211;73970;0.278;1698.45;0.134
2572.5;0.85;;;713.97;0.599;;;942;0.37;;;4274;0.342;;;162.79;0.234;1560.32;0.249;75694;0.253;1712.2;0.133
2593;0.96;;;718.52;0.562;;;949;0.441;;;4296;0.354;;;163.63;0.172;1574.36;0.233;77357;0.265;1724.9;0.117
2613.5;0.95;;;723.33;0.623;;;955;0.354;;;4318;0.334;;;164.61;0.192;1587.51;0.249;79614;0.278;1737.9;0.125
2634;0.969;;;728.02;0.802;;;961.5;0.318;;;4340;0.358;;;170.27;0.171;1600.8;0.264;80421;0.254;1752.6;0.123
2654.5;0.977;;;732.87;0.923;;;966.9;0.338;;;4362;0.391;;;174.88;0.242;1614.26;0.292;80869;0.227;1767.4;0.111
2675;0.8;;;737.98;0.652;;;969.1;;;;4384;0.374;;;177.21;0.147;1626.93;0.28;82267;0.317;1780.55;0.108
2695.5;0.622;;;742.74;0.657;;;971.4;0.35;;;4406;0.383;;;184.19;0.136;1640.11;0.228;82634;0.406;1791.3;0.105
